Country,Air Quality Network,Air Quality Network Name,Air Quality Station EoI Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Data Coverage,Verification,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,Altitude,City,City Code,City Population,Source Of Data Flow,Calculation Time,Link to raw data (only E1a/validated data from AQ e-Reporting),Observation Frequency
"France","","","FR0267A","","SPO-FR0267A_00003_100","SA","Strong acidity (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","1979","78.000","ug SO2/m3","76.44","","Traffic","urban","-0.5925","44.8553","10.0","Bordeaux                                                                        ","FR007C1                                           ","650138","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR0267A","","SPO-FR0267A_00003_100","SA","Strong acidity (air)","P1Y","Annual mean / 1 calendar year","1979","80.882","ug SO2/m3","76.44","","Traffic","urban","-0.5925","44.8553","10.0","Bordeaux                                                                        ","FR007C1                                           ","650138","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR0032A","","SPO-FR0032A_00006_110","BS","Black smoke (air)","P1Y","Annual mean / 1 calendar year","1979","25.469","ug/m3","92.88","","Unknown","urban","-1.5617","47.2133","","Nantes                                                                          ","FR008C1                                           ","450218","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR0032A","","SPO-FR0032A_00006_110","BS","Black smoke (air)","P1Y-day-max","1 year day max","1979","103.000","ug/m3","92.88","","Unknown","urban","-1.5617","47.2133","","Nantes                                                                          ","FR008C1                                           ","450218","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR0032A","","SPO-FR0032A_00003_100","SA","Strong acidity (air)","P1Y","Annual mean / 1 calendar year","1979","34.640","ug SO2/m3","93.70","","Unknown","urban","-1.5617","47.2133","","Nantes                                                                          ","FR008C1                                           ","450218","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR0045A","","SPO-FR0045A_00003_100","SA","Strong acidity (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","1979","19.000","ug SO2/m3","87.12","","Unknown","urban","-1.5233","47.2450","","Nantes                                                                          ","FR008C1                                           ","450218","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR0271A","","SPO-FR0271A_00006_110","BS","Black smoke (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","1979","38.000","ug/m3","99.73","","Unknown","urban","2.3492","48.8253","","Paris (greater city)                                                            ","FR001C1                                           ","9845879","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR0032A","","SPO-FR0032A_00003_100","SA","Strong acidity (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","1979","26.000","ug SO2/m3","93.70","","Unknown","urban","-1.5617","47.2133","","Nantes                                                                          ","FR008C1                                           ","450218","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR0037A","","SPO-FR0037A_00003_100","SA","Strong acidity (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","1979","29.000","ug SO2/m3","95.07","","Unknown","urban","-1.5783","47.2000","","Nantes                                                                          ","FR008C1                                           ","450218","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR0045A","","SPO-FR0045A_00006_110","BS","Black smoke (air)","P1Y","Annual mean / 1 calendar year","1979","20.120","ug/m3","80.00","","Unknown","urban","-1.5233","47.2450","","Nantes                                                                          ","FR008C1                                           ","450218","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR0146A","","SPO-FR0146A_00003_100","SA","Strong acidity (air)","P1Y","Annual mean / 1 calendar year","1979","211.110","ug SO2/m3","97.26","","Unknown","urban","1.0222","49.3767","","","","","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR0037A","","SPO-FR0037A_00003_100","SA","Strong acidity (air)","P1Y","Annual mean / 1 calendar year","1979","38.637","ug SO2/m3","95.07","","Unknown","urban","-1.5783","47.2000","","Nantes                                                                          ","FR008C1                                           ","450218","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR0045A","","SPO-FR0045A_00003_100","SA","Strong acidity (air)","P1Y-day-max","1 year day max","1979","164.000","ug SO2/m3","87.12","","Unknown","urban","-1.5233","47.2450","","Nantes                                                                          ","FR008C1                                           ","450218","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR0271A","","SPO-FR0271A_00003_120","SA","Strong acidity (air)","P1Y-day-max","1 year day max","1979","396.000","ug SO2/m3","96.99","","Unknown","urban","2.3492","48.8253","","Paris (greater city)                                                            ","FR001C1                                           ","9845879","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR0271A","","SPO-FR0271A_00006_110","BS","Black smoke (air)","P1Y","Annual mean / 1 calendar year","1979","45.437","ug/m3","99.73","","Unknown","urban","2.3492","48.8253","","Paris (greater city)                                                            ","FR001C1                                           ","9845879","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR0459A","","SPO-FR0459A_00003_110","SA","Strong acidity (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","1979","31.000","ug SO2/m3","86.58","","Unknown","urban","1.8636","50.9644","","Calais                                                                          ","FR062C1                                           ","73911","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR0437A","","SPO-FR0437A_00006_110","BS","Black smoke (air)","P1Y-day-max","1 year day max","1979","152.000","ug/m3","99.45","","Unknown","urban","3.0756","50.6517","","Lille                                                                           ","FR009C1                                           ","906981","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR05012","","SPO-FR05012_00003_100","SA","Strong acidity (air)","P1Y","Annual mean / 1 calendar year","1979","48.870","ug SO2/m3","82.47","","Unknown","urban","0.0742","49.5072","","Le Havre                                                                        ","FR012C1                                           ","195042","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR0271A","","SPO-FR0271A_00006_110","BS","Black smoke (air)","P1Y-day-max","1 year day max","1979","219.000","ug/m3","99.73","","Unknown","urban","2.3492","48.8253","","Paris (greater city)                                                            ","FR001C1                                           ","9845879","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR05031","","SPO-FR05031_00003_100","SA","Strong acidity (air)","P1Y","Annual mean / 1 calendar year","1979","106.200","ug SO2/m3","95.89","","Unknown","urban","0.1517","49.4914","","Le Havre                                                                        ","FR012C1                                           ","195042","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR05031","","SPO-FR05031_00003_100","SA","Strong acidity (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","1979","57.000","ug SO2/m3","95.89","","Unknown","urban","0.1517","49.4914","","Le Havre                                                                        ","FR012C1                                           ","195042","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR0037A","","SPO-FR0037A_00003_100","SA","Strong acidity (air)","P1Y-day-max","1 year day max","1979","440.000","ug SO2/m3","95.07","","Unknown","urban","-1.5783","47.2000","","Nantes                                                                          ","FR008C1                                           ","450218","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR0271A","","SPO-FR0271A_00003_120","SA","Strong acidity (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","1979","75.000","ug SO2/m3","96.99","","Unknown","urban","2.3492","48.8253","","Paris (greater city)                                                            ","FR001C1                                           ","9845879","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR0267A","","SPO-FR0267A_00003_100","SA","Strong acidity (air)","P1Y-day-max","1 year day max","1979","426.000","ug SO2/m3","76.44","","Traffic","urban","-0.5925","44.8553","10.0","Bordeaux                                                                        ","FR007C1                                           ","650138","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR0271A","","SPO-FR0271A_00003_120","SA","Strong acidity (air)","P1Y","Annual mean / 1 calendar year","1979","94.703","ug SO2/m3","96.99","","Unknown","urban","2.3492","48.8253","","Paris (greater city)                                                            ","FR001C1                                           ","9845879","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR0630A","","SPO-FR0630A_00006_100","BS","Black smoke (air)","P1Y","Annual mean / 1 calendar year","1979","27.563","ug/m3","41.37","","Unknown","urban","3.1803","50.6919","","Lille                                                                           ","FR009C1                                           ","906981","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR0329A","","SPO-FR0329A_00006_110","BS","Black smoke (air)","P1Y-day-max","1 year day max","1979","255.000","ug/m3","95.89","","Unknown","urban","2.2950","48.9311","","Paris (greater city)                                                            ","FR001C1                                           ","9845879","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR0630A","","SPO-FR0630A_00003_100","SA","Strong acidity (air)","P1Y","Annual mean / 1 calendar year","1979","124.656","ug SO2/m3","41.37","","Unknown","urban","3.1803","50.6919","","Lille                                                                           ","FR009C1                                           ","906981","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR0329A","","SPO-FR0329A_00006_110","BS","Black smoke (air)","P1Y","Annual mean / 1 calendar year","1979","45.671","ug/m3","95.89","","Unknown","urban","2.2950","48.9311","","Paris (greater city)                                                            ","FR001C1                                           ","9845879","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR05031","","SPO-FR05031_00003_100","SA","Strong acidity (air)","P1Y-day-max","1 year day max","1979","657.000","ug SO2/m3","95.89","","Unknown","urban","0.1517","49.4914","","Le Havre                                                                        ","FR012C1                                           ","195042","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR05043","","SPO-FR05043_00003_100","SA","Strong acidity (air)","P1Y","Annual mean / 1 calendar year","1979","82.433","ug SO2/m3","93.70","","Unknown","urban","0.1364","49.5036","","Le Havre                                                                        ","FR012C1                                           ","195042","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR05043","","SPO-FR05043_00003_100","SA","Strong acidity (air)","P1Y-day-max","1 year day max","1979","994.000","ug SO2/m3","93.70","","Unknown","urban","0.1364","49.5036","","Le Havre                                                                        ","FR012C1                                           ","195042","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR0709A","","SPO-FR0709A_00003_100","SA","Strong acidity (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","1979","47.000","ug SO2/m3","95.89","","Unknown","urban","4.8225","45.7078","","Lyon                                                                            ","FR003C2                                           ","1076752","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR0709A","","SPO-FR0709A_00003_100","SA","Strong acidity (air)","P1Y","Annual mean / 1 calendar year","1979","60.217","ug SO2/m3","95.89","","Unknown","urban","4.8225","45.7078","","Lyon                                                                            ","FR003C2                                           ","1076752","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR0032A","","SPO-FR0032A_00006_110","BS","Black smoke (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","1979","20.000","ug/m3","92.88","","Unknown","urban","-1.5617","47.2133","","Nantes                                                                          ","FR008C1                                           ","450218","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR0437A","","SPO-FR0437A_00003_110","SA","Strong acidity (air)","P1Y-day-max","1 year day max","1979","438.000","ug SO2/m3","99.73","","Unknown","urban","3.0756","50.6517","","Lille                                                                           ","FR009C1                                           ","906981","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR0709A","","SPO-FR0709A_00003_100","SA","Strong acidity (air)","P1Y-day-max","1 year day max","1979","441.000","ug SO2/m3","95.89","","Unknown","urban","4.8225","45.7078","","Lyon                                                                            ","FR003C2                                           ","1076752","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR05032","","SPO-FR05032_00003_100","SA","Strong acidity (air)","P1Y","Annual mean / 1 calendar year","1979","110.094","ug SO2/m3","93.70","","Unknown","urban","0.1753","49.4911","","Le Havre                                                                        ","FR012C1                                           ","195042","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR05032","","SPO-FR05032_00003_100","SA","Strong acidity (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","1979","64.000","ug SO2/m3","93.70","","Unknown","urban","0.1753","49.4911","","Le Havre                                                                        ","FR012C1                                           ","195042","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
